obra;mes_ano
Z161;10/2018
Z161;11/2018
Z161;12/2018
Z162;01/2013
Z162;02/2013
Z162;03/2013
Z162;04/2013
Z162;05/2013
Z162;06/2013
Z162;07/2013
Z162;08/2013
Z162;09/2013
Z162;10/2013
Z162;11/2013
Z162;12/2013
Z162;01/2014
Z162;02/2014
Z162;03/2014
Z162;04/2014
Z162;05/2014
Z162;06/2014
Z162;07/2014
Z162;08/2014
Z162;09/2014
Z162;10/2014
Z162;11/2014
Z162;12/2014
Z162;01/2015
Z162;02/2015
Z162;03/2015
Z162;04/2015
Z162;05/2015
Z162;06/2015
Z162;07/2015
Z162;08/2015
Z162;09/2015
Z162;10/2015
Z162;11/2015
Z162;12/2015
Z162;01/2016
Z162;02/2016
Z162;03/2016
Z162;04/2016
Z162;05/2016
Z162;06/2016
Z162;07/2016
Z162;08/2016
Z162;09/2016
Z162;10/2016
Z162;11/2016
Z162;12/2016
Z162;01/2017
Z162;02/2017
Z162;03/2017
Z162;04/2017
Z162;05/2017
Z162;06/2017
Z162;07/2017
Z162;08/2017
Z162;09/2017
Z162;10/2017
Z162;11/2017
Z162;12/2017
Z162;01/2018
Z162;02/2018
Z162;03/2018
Z162;04/2018
Z162;05/2018
Z162;06/2018
Z162;07/2018
Z162;08/2018
Z162;09/2018
Z162;10/2018
Z162;11/2018
Z162;12/2018
Z169;01/2014
Z169;02/2014
Z169;03/2014
Z169;04/2014
Z169;05/2014
Z169;06/2014
Z169;07/2014
Z169;08/2014
Z169;09/2014
Z169;10/2014
Z169;11/2014
Z169;12/2014
Z169;01/2015
Z169;02/2015
Z169;03/2015
Z169;04/2015
Z169;05/2015
Z169;06/2015
Z169;07/2015
Z169;08/2015
Z169;09/2015
Z169;10/2015
Z169;11/2015
Z169;12/2015
Z169;01/2016
Z169;02/2016
Z169;03/2016
Z169;04/2016
Z169;05/2016
Z169;06/2016
Z169;07/2016
Z169;08/2016
Z169;09/2016
Z169;10/2016
Z169;11/2016
Z169;12/2016
Z169;01/2017
Z169;02/2017
Z169;03/2017
Z169;04/2017
Z169;05/2017
Z169;06/2017
Z169;07/2017
Z169;08/2017
Z169;09/2017
Z169;10/2017
Z169;11/2017
Z169;12/2017
Z169;01/2018
Z169;02/2018
Z169;03/2018
Z169;04/2018
Z169;05/2018
Z169;06/2018
Z169;07/2018
Z169;08/2018
Z169;09/2018
Z169;10/2018
Z169;11/2018
Z169;12/2018
Z169;01/2019
Z169;02/2019
Z169;03/2019
Z169;04/2019
Z169;05/2019
Z170;02/2014
Z170;03/2014
Z170;04/2014
Z170;05/2014
Z170;06/2014
Z170;07/2014
Z170;08/2014
Z170;09/2014
Z170;10/2014
Z170;11/2014
Z170;12/2014
Z170;01/2015
Z170;02/2015
Z170;03/2015
Z170;04/2015
Z170;05/2015
Z170;06/2015
Z170;07/2015
Z170;08/2015
Z170;09/2015
Z170;10/2015
Z170;11/2015
Z170;12/2015
Z170;01/2016
Z170;02/2016
Z170;03/2016
Z170;04/2016
Z170;05/2016
Z170;06/2016
Z170;07/2016
Z170;08/2016
Z170;09/2016
Z170;10/2016
Z170;11/2016
Z170;12/2016
Z170;01/2017
Z170;02/2017
Z170;03/2017
Z170;04/2017
Z170;05/2017
Z170;06/2017
Z170;07/2017
Z170;08/2017
Z170;09/2017
Z170;10/2017
Z170;11/2017
Z170;12/2017
Z170;01/2018
Z170;02/2018
Z170;03/2018
Z170;04/2018
Z170;05/2018
Z170;06/2018
Z170;07/2018
Z170;08/2018
Z170;09/2018
Z170;10/2018
Z170;11/2018
Z170;12/2018
Z170;01/2019
Z170;02/2019
Z170;03/2019
Z170;04/2019
Z170;05/2019
Z170;06/2019
Z170;07/2019
Z170;08/2019
Z170;09/2019
Z170;10/2019
Z170;11/2019
Z170;12/2019
Z170;01/2020
Z170;02/2020
Z171;05/2014
Z171;06/2014
Z171;07/2014
Z171;08/2014
Z171;09/2014
Z171;10/2014
Z171;11/2014
Z171;12/2014
Z171;01/2015
Z171;02/2015
Z171;03/2015
Z171;04/2015
Z171;05/2015
Z171;06/2015
Z171;07/2015
Z171;08/2015
Z171;09/2015
Z171;10/2015
Z171;11/2015
Z171;12/2015
Z171;01/2016
Z171;02/2016
Z171;03/2016
Z171;04/2016
Z171;05/2016
Z171;06/2016
Z171;07/2016
Z171;08/2016
Z171;09/2016
Z171;10/2016
Z171;11/2016
Z171;12/2016
Z171;01/2017
Z171;02/2017
Z171;03/2017
Z171;04/2017
Z171;05/2017
Z171;06/2017
Z171;07/2017
Z171;08/2017
Z171;09/2017
Z171;10/2017
Z171;11/2017
Z171;12/2017
Z171;01/2018
Z171;02/2018
Z171;03/2018
Z171;04/2018
Z171;05/2018
Z171;06/2018
Z171;07/2018
Z171;08/2018
Z171;09/2018
Z171;10/2018
Z171;11/2018
Z171;12/2018
Z171;01/2019
Z171;02/2019
Z171;03/2019
Z171;04/2019
Z171;05/2019
Z171;06/2019
Z171;07/2019
Z171;08/2019
Z172;05/2014
Z172;06/2014
Z172;07/2014
Z172;08/2014
Z172;09/2014
Z172;10/2014
Z172;11/2014
Z172;12/2014
Z172;01/2015
Z172;02/2015
Z172;03/2015
Z172;04/2015
Z172;05/2015
Z172;06/2015
Z172;07/2015
Z172;08/2015
Z172;09/2015
Z172;10/2015
Z172;11/2015
Z172;12/2015
Z172;01/2016
Z172;02/2016
Z172;03/2016
Z172;04/2016
Z172;05/2016
Z172;06/2016
Z172;07/2016
Z172;08/2016
Z172;09/2016
Z172;10/2016
Z172;11/2016
Z172;12/2016
Z172;01/2017
Z172;02/2017
Z172;03/2017
Z172;04/2017
Z172;05/2017
Z172;06/2017
Z172;07/2017
Z172;08/2017
Z172;09/2017
Z172;10/2017
Z172;11/2017
Z172;12/2017
Z172;01/2018
Z172;02/2018
Z172;03/2018
Z172;04/2018
Z172;05/2018
Z172;06/2018
Z172;07/2018
Z172;08/2018
Z172;09/2018
Z172;10/2018
Z172;11/2018
Z172;12/2018
Z172;01/2019
Z172;02/2019
Z172;03/2019
Z172;04/2019
Z172;05/2019
Z172;06/2019
Z172;07/2019
Z172;08/2019
Z173;05/2014
Z173;06/2014
Z173;07/2014
Z173;08/2014
Z173;09/2014
Z173;10/2014
Z173;11/2014
Z173;12/2014
Z173;01/2015
Z173;02/2015
Z173;03/2015
Z173;04/2015
Z173;05/2015
Z173;06/2015
Z173;07/2015
Z173;08/2015
Z173;09/2015
Z173;10/2015
Z173;11/2015
Z173;12/2015
Z173;01/2016
Z173;02/2016
Z173;03/2016
Z173;04/2016
Z173;05/2016
Z173;06/2016
Z173;07/2016
Z173;08/2016
Z173;09/2016
Z173;10/2016
Z173;11/2016
Z173;12/2016
Z173;01/2017
Z173;02/2017
Z173;03/2017
Z173;04/2017
Z173;05/2017
Z173;06/2017
Z173;07/2017
Z173;08/2017
Z173;09/2017
Z173;10/2017
Z173;11/2017
Z173;12/2017
Z173;01/2018
Z173;02/2018
Z173;03/2018
Z173;04/2018
Z173;05/2018
Z173;06/2018
Z173;07/2018
Z173;08/2018
Z173;09/2018
Z173;10/2018
Z173;11/2018
Z173;12/2018
Z173;01/2019
Z173;02/2019
Z173;03/2019
Z173;04/2019
Z173;05/2019
Z173;06/2019
Z173;07/2019
Z173;08/2019
Z175;06/2014
Z175;07/2014
Z175;08/2014
Z175;09/2014
Z175;10/2014
Z175;11/2014
Z175;12/2014
Z175;01/2015
Z175;02/2015
Z175;03/2015
Z175;04/2015
Z175;05/2015
Z175;06/2015
Z175;07/2015
Z175;08/2015
Z175;09/2015
Z175;10/2015
Z175;11/2015
Z175;12/2015
Z175;01/2016
Z175;02/2016
Z175;03/2016
Z175;04/2016
Z175;05/2016
Z175;06/2016
Z175;07/2016
Z175;08/2016
Z175;09/2016
Z175;10/2016
Z175;11/2016
Z175;12/2016
Z175;01/2017
Z175;02/2017
Z175;03/2017
Z175;04/2017
Z175;05/2017
Z175;06/2017
Z175;07/2017
Z175;08/2017
Z175;09/2017
Z175;10/2017
Z175;11/2017
Z175;12/2017
Z175;01/2018
Z175;02/2018
Z175;03/2018
Z175;04/2018
Z175;05/2018
Z175;06/2018
Z175;07/2018
Z175;08/2018
Z175;09/2018
Z175;10/2018
Z175;11/2018
Z175;12/2018
Z175;01/2019
Z175;02/2019
Z175;03/2019
Z175;04/2019
Z175;05/2019
Z175;06/2019
Z175;07/2019
Z175;08/2019
Z175;09/2019
Z175;10/2019
Z175;11/2019
Z175;12/2019
Z175;01/2020
Z175;02/2020
Z175;03/2020
Z175;04/2020
Z175;05/2020
Z176;09/2014
Z176;10/2014
Z176;11/2014
Z176;12/2014
Z176;01/2015
Z176;02/2015
Z176;03/2015
Z176;04/2015
Z176;05/2015
Z176;06/2015
Z176;07/2015
Z176;08/2015
Z176;09/2015
Z176;10/2015
Z176;11/2015
Z176;12/2015
Z176;01/2016
Z176;02/2016
Z176;03/2016
Z176;04/2016
Z176;05/2016
Z176;06/2016
Z176;07/2016
Z176;08/2016
Z176;09/2016
Z180;01/2015
Z180;02/2015
Z180;03/2015
Z180;04/2015
Z180;05/2015
Z180;06/2015
Z180;07/2015
Z180;08/2015
Z180;09/2015
Z180;10/2015
Z180;11/2015
Z180;12/2015
Z180;01/2016
Z180;02/2016
Z180;03/2016
Z180;04/2016
Z180;05/2016
Z180;06/2016
Z180;07/2016
Z180;08/2016
Z180;09/2016
Z180;10/2016
Z180;11/2016
Z180;12/2016
Z180;01/2017
Z180;02/2017
Z180;03/2017
Z180;04/2017
Z180;05/2017
Z180;06/2017
Z182;10/2015
Z182;11/2015
Z182;12/2015
Z182;01/2016
Z182;02/2016
Z182;03/2016
Z182;04/2016
Z182;05/2016
Z182;06/2016
Z182;07/2016
Z182;08/2016
Z182;09/2016
Z182;10/2016
Z182;11/2016
Z182;12/2016
Z182;01/2017
Z182;02/2017
Z182;03/2017
Z182;04/2017
Z182;05/2017
Z182;06/2017
Z182;07/2017
Z182;08/2017
Z182;09/2017
Z182;10/2017
Z182;11/2017
Z182;12/2017
Z182;01/2018
Z182;02/2018
Z182;03/2018
Z182;04/2018
Z182;05/2018
Z182;06/2018
Z182;07/2018
Z182;08/2018
Z182;09/2018
Z182;10/2018
Z182;11/2018
Z182;12/2018
Z182;01/2019
Z182;02/2019
Z182;03/2019
Z182;04/2019
Z182;05/2019
Z182;06/2019
Z182;07/2019
Z182;08/2019
Z182;09/2019
Z182;10/2019
Z182;11/2019
Z182;12/2019
Z182;01/2020
Z182;02/2020
Z182;03/2020
Z182;04/2020
Z183;12/2015
Z183;01/2016
Z183;02/2016
Z183;03/2016
Z183;04/2016
Z183;05/2016
Z183;06/2016
Z183;07/2016
Z183;08/2016
Z183;09/2016
Z183;10/2016
Z183;11/2016
Z183;12/2016
Z183;01/2017
Z183;02/2017
Z183;03/2017
Z183;04/2017
Z183;05/2017
Z183;06/2017
Z183;07/2017
Z183;08/2017
Z183;09/2017
Z183;10/2017
Z183;11/2017
Z183;12/2017
Z183;01/2018
Z183;02/2018
Z183;03/2018
Z183;04/2018
Z183;05/2018
Z183;06/2018
Z183;07/2018
Z183;08/2018
Z183;09/2018
Z183;10/2018
Z183;11/2018
Z183;12/2018
Z183;01/2019
Z183;02/2019
Z183;03/2019
Z183;04/2019
Z183;05/2019
Z183;06/2019
Z183;07/2019
Z183;08/2019
Z183;09/2019
Z183;10/2019
Z183;11/2019
Z183;12/2019
Z183;01/2020
Z183;02/2020
Z183;03/2020
Z183;04/2020
Z183;05/2020
Z183;06/2020
Z183;07/2020
Z183;08/2020
Z183;09/2020
Z183;10/2020
Z183;11/2020
Z183;12/2020
Z183;01/2021
Z183;02/2021
Z183;03/2021
Z183;04/2021
Z184;01/2016
Z184;02/2016
Z184;03/2016
Z184;04/2016
Z184;05/2016
Z184;06/2016
Z184;07/2016
Z184;08/2016
Z184;09/2016
Z184;10/2016
Z184;11/2016
Z184;12/2016
Z184;01/2017
Z184;02/2017
Z184;03/2017
Z184;04/2017
Z184;05/2017
Z184;06/2017
Z184;07/2017
Z184;08/2017
Z184;09/2017
Z184;10/2017
Z184;11/2017
Z184;12/2017
Z184;01/2018
Z184;02/2018
Z184;03/2018
Z184;04/2018
Z184;05/2018
Z184;06/2018
Z184;07/2018
Z184;08/2018
Z184;09/2018
Z184;10/2018
Z184;11/2018
Z184;12/2018
Z184;01/2019
Z184;02/2019
Z184;03/2019
Z184;04/2019
Z184;05/2019
Z184;06/2019
Z184;07/2019
Z184;08/2019
Z184;09/2019
Z184;10/2019
Z184;11/2019
Z184;12/2019
Z184;01/2020
Z184;02/2020
Z184;03/2020
Z184;04/2020
Z184;05/2020
Z184;06/2020
Z184;07/2020
Z184;08/2020
Z184;09/2020
Z184;10/2020
Z184;11/2020
Z184;12/2020
Z184;01/2021
Z185;02/2016
Z185;03/2016
Z185;04/2016
Z185;05/2016
Z185;06/2016
Z185;07/2016
Z185;08/2016
Z185;09/2016
Z185;10/2016
Z185;11/2016
Z185;12/2016
Z185;01/2017
Z185;02/2017
Z185;03/2017
Z185;04/2017
Z185;05/2017
Z185;06/2017
Z185;07/2017
Z185;08/2017
Z185;09/2017
Z185;10/2017
Z185;11/2017
Z185;12/2017
Z185;01/2018
Z185;02/2018
Z185;03/2018
Z185;04/2018
Z185;05/2018
Z185;06/2018
Z185;07/2018
Z185;08/2018
Z185;09/2018
Z185;10/2018
Z185;11/2018
Z185;12/2018
Z185;01/2019
Z185;02/2019
Z185;03/2019
Z185;04/2019
Z185;05/2019
Z185;06/2019
Z185;07/2019
Z185;08/2019
Z185;09/2019
Z185;10/2019
Z185;11/2019
Z185;12/2019
Z185;01/2020
Z185;02/2020
Z185;03/2020
Z185;04/2020
Z185;05/2020
Z185;06/2020
Z186;02/2016
Z186;03/2016
Z186;04/2016
Z186;05/2016
Z186;06/2016
Z186;07/2016
Z186;08/2016
Z186;09/2016
Z186;10/2016
Z186;11/2016
Z186;12/2016
Z186;01/2017
Z186;02/2017
Z186;03/2017
Z186;04/2017
Z186;05/2017
Z186;06/2017
Z188;04/2016
Z188;05/2016
Z188;06/2016
Z188;07/2016
Z188;08/2016
Z188;09/2016
Z188;10/2016
Z188;11/2016
Z188;12/2016
Z188;01/2017
Z188;02/2017
Z188;03/2017
Z188;04/2017
Z188;05/2017
Z188;06/2017
Z188;07/2017
Z188;08/2017
Z188;09/2017
Z188;10/2017
Z188;11/2017
Z188;12/2017
Z188;01/2018
Z188;02/2018
Z188;03/2018
Z188;04/2018
Z188;05/2018
Z188;06/2018
Z188;07/2018
Z188;08/2018
Z188;09/2018
Z188;10/2018
Z188;11/2018
Z188;12/2018
Z188;01/2019
Z188;02/2019
Z189;06/2017
Z189;07/2017
Z189;08/2017
Z189;09/2017
Z189;10/2017
Z189;11/2017
Z189;12/2017
Z189;01/2018
Z189;02/2018
Z189;03/2018
Z189;04/2018
Z189;05/2018
Z189;06/2018
Z189;07/2018
Z189;08/2018
Z189;09/2018
Z189;10/2018
Z189;11/2018
Z189;12/2018
Z189;01/2019
Z189;02/2019
Z189;03/2019
Z189;04/2019
Z189;05/2019
Z189;06/2019
Z189;07/2019
Z189;08/2019
Z189;09/2019
Z189;10/2019
Z189;11/2019
Z189;12/2019
Z189;01/2020
Z189;02/2020
Z189;03/2020
Z189;04/2020
Z189;05/2020
Z191;09/2017
Z191;10/2017
Z191;11/2017
Z191;12/2017
Z191;01/2018
Z191;02/2018
Z191;03/2018
Z191;04/2018
Z191;05/2018
Z191;06/2018
Z191;07/2018
Z191;08/2018
Z191;09/2018
Z191;10/2018
Z191;11/2018
Z191;12/2018
Z191;01/2019
Z191;02/2019
Z191;03/2019
Z191;04/2019
Z191;05/2019
Z191;06/2019
Z191;07/2019
Z191;08/2019
Z191;09/2019
Z191;10/2019
Z191;11/2019
Z191;12/2019
Z191;01/2020
Z191;02/2020
Z191;03/2020
Z191;04/2020
Z191;05/2020
Z191;06/2020
Z191;07/2020
Z191;08/2020
Z191;09/2020
Z191;10/2020
Z191;11/2020
Z191;12/2020
Z191;01/2021
Z191;02/2021
Z191;03/2021
Z193;06/2018
Z193;07/2018
Z193;08/2018
Z193;09/2018
Z193;10/2018
Z193;11/2018
Z193;12/2018
Z193;01/2019
Z193;02/2019
Z193;03/2019
Z193;04/2019
Z193;05/2019
Z193;06/2019
Z193;07/2019
Z193;08/2019
Z193;09/2019
Z193;10/2019
Z193;11/2019
Z193;12/2019
Z193;01/2020
Z193;02/2020
Z193;03/2020
Z193;04/2020
Z193;05/2020
Z193;06/2020
Z193;07/2020
Z193;08/2020
Z193;09/2020
Z193;10/2020
Z193;11/2020
Z193;12/2020
Z193;01/2021
Z193;02/2021
Z193;03/2021
Z193;04/2021
Z195;07/2018
Z195;08/2018
Z195;09/2018
Z195;10/2018
Z195;11/2018
Z195;12/2018
Z195;01/2019
Z195;02/2019
Z195;03/2019
Z195;04/2019
Z195;05/2019
Z195;06/2019
Z195;07/2019
Z195;08/2019
Z195;09/2019
Z195;10/2019
Z195;11/2019
Z195;12/2019
Z195;01/2020
Z195;02/2020
Z195;03/2020
Z195;04/2020
Z195;05/2020
Z195;06/2020
Z195;07/2020
Z195;08/2020
Z195;09/2020
Z195;10/2020
Z195;11/2020
Z195;12/2020
Z195;01/2021
Z195;02/2021
Z195;03/2021
Z195;04/2021
Z196;09/2018
Z196;10/2018
Z196;11/2018
Z196;12/2018
Z196;01/2019
Z196;02/2019
Z196;03/2019
Z196;04/2019
Z196;05/2019
Z196;06/2019
Z196;07/2019
Z196;08/2019
Z196;09/2019
Z196;10/2019
Z196;11/2019
Z196;12/2019
Z196;01/2020
Z196;02/2020
Z196;03/2020
Z196;04/2020
Z196;05/2020
Z196;06/2020
Z196;07/2020
Z196;08/2020
Z196;09/2020
Z196;10/2020
Z196;11/2020
Z196;12/2020
Z196;01/2021
Z196;02/2021
Z197;09/2018
Z197;10/2018
Z197;11/2018
Z197;12/2018
Z197;01/2019
Z197;02/2019
Z197;03/2019
Z197;04/2019
Z197;05/2019
Z197;06/2019
Z197;07/2019
Z197;08/2019
Z197;09/2019
Z197;10/2019
Z197;11/2019
Z197;12/2019
Z197;01/2020
Z197;02/2020
Z197;03/2020
Z197;04/2020
Z197;05/2020
Z197;06/2020
Z197;07/2020
Z199;10/2018
Z199;11/2018
Z199;12/2018
Z199;01/2019
Z199;02/2019
Z199;03/2019
Z199;04/2019
Z199;05/2019
Z199;06/2019
Z199;07/2019
Z199;08/2019
Z199;09/2019
Z199;10/2019
Z199;11/2019
Z199;12/2019
Z199;01/2020
Z199;02/2020
Z199;03/2020
Z199;04/2020
Z199;05/2020
Z199;06/2020
Z199;07/2020
Z199;08/2020
Z202;03/2019
Z202;04/2019
Z202;05/2019
Z202;06/2019
Z202;07/2019
Z202;08/2019
Z202;09/2019
Z202;10/2019
Z202;11/2019
Z202;12/2019
Z202;01/2020
Z202;02/2020
Z202;03/2020
Z202;04/2020
Z202;05/2020
Z202;06/2020
Z202;07/2020
Z202;08/2020
Z202;09/2020
Z202;10/2020
Z202;11/2020
Z202;12/2020
Z202;01/2021
Z202;02/2021
Z202;03/2021
Z205;05/2019
Z205;06/2019
Z205;07/2019
Z205;08/2019
Z205;09/2019
Z205;10/2019
Z205;11/2019
Z205;12/2019
Z205;01/2020
Z205;02/2020
Z205;03/2020
Z205;04/2020
Z205;05/2020
Z205;06/2020
Z205;07/2020
Z205;08/2020
Z205;09/2020
Z205;10/2020
Z205;11/2020
Z205;12/2020
Z205;01/2021
Z205;02/2021
Z205;03/2021
Z207;11/2020
Z207;12/2020
Z208;11/2020
Z208;12/2020
