obra;mes_ano
G009;04/2020
G009;05/2020
G009;06/2020
G009;07/2020
G009;08/2020
G009;09/2020
G009;10/2020
G009;11/2020
G009;12/2020
G009;01/2021
G009;02/2021
G010;03/2019
G010;04/2019
G010;05/2019
G010;06/2019
G010;07/2019
G010;08/2019
G010;09/2019
G010;10/2019
G010;11/2019
G010;12/2019
G010;01/2020
G010;02/2020
G010;03/2020
G010;04/2020
G010;05/2020
G010;06/2020
G010;07/2020
G010;08/2020
G010;09/2020
G010;10/2020
G010;11/2020
G010;12/2020
G010;01/2021
G010;02/2021
G010;03/2021
Z093;06/2007
Z093;07/2007
Z093;08/2007
Z093;09/2007
Z093;10/2007
Z093;11/2007
Z093;12/2007
Z093;01/2008
Z093;02/2008
Z093;03/2008
Z093;04/2008
Z093;05/2008
Z093;06/2008
Z093;07/2008
Z093;08/2008
Z093;09/2008
Z093;10/2008
Z093;11/2008
Z093;12/2008
Z093;01/2009
Z093;02/2009
Z093;03/2009
Z093;04/2009
Z093;05/2009
Z102;09/2007
Z102;10/2007
Z102;11/2007
Z102;12/2007
Z102;01/2008
Z102;02/2008
Z102;03/2008
Z102;04/2008
Z102;05/2008
Z102;06/2008
Z102;07/2008
Z102;08/2008
Z102;09/2008
Z102;10/2008
Z102;11/2008
Z102;12/2008
Z102;01/2009
Z102;02/2009
Z102;03/2009
Z102;04/2009
Z102;05/2009
Z102;06/2009
Z102;07/2009
Z102;08/2009
Z109;09/2008
Z109;10/2008
Z109;11/2008
Z109;12/2008
Z109;01/2009
Z109;02/2009
Z109;03/2009
Z109;04/2009
Z109;05/2009
Z109;06/2009
Z109;07/2009
Z109;08/2009
Z109;09/2009
Z109;10/2009
Z109;11/2009
Z109;12/2009
Z109;01/2010
Z109;02/2010
Z109;03/2010
Z109;04/2010
Z109;05/2010
Z109;06/2010
Z109;07/2010
Z109;08/2010
Z109;09/2010
Z109;10/2010
Z109;11/2010
Z109;12/2010
Z109;01/2011
Z109;02/2011
Z109;03/2011
Z109;04/2011
Z109;05/2011
Z109;06/2011
Z109;07/2011
Z109;08/2011
Z109;09/2011
Z109;10/2011
Z109;11/2011
Z109;12/2011
Z109;01/2012
Z109;02/2012
Z109;03/2012
Z109;04/2012
Z109;05/2012
Z109;06/2012
Z109;07/2012
Z109;08/2012
Z109;09/2012
Z109;10/2012
Z110;11/2008
Z110;12/2008
Z110;01/2009
Z110;02/2009
Z110;03/2009
Z110;04/2009
Z110;05/2009
Z110;06/2009
Z110;07/2009
Z110;08/2009
Z110;09/2009
Z110;10/2009
Z110;11/2009
Z110;12/2009
Z110;01/2010
Z110;02/2010
Z110;03/2010
Z110;04/2010
Z110;05/2010
Z110;06/2010
Z110;07/2010
Z110;08/2010
Z110;09/2010
Z110;10/2010
Z110;11/2010
Z110;12/2010
Z110;01/2011
Z110;02/2011
Z110;03/2011
Z110;04/2011
Z110;05/2011
Z110;06/2011
Z110;07/2011
Z110;08/2011
Z110;09/2011
Z110;10/2011
Z110;11/2011
Z110;12/2011
Z110;01/2012
Z110;02/2012
Z110;03/2012
Z110;04/2012
Z110;05/2012
Z110;06/2012
Z110;07/2012
Z110;08/2012
Z110;09/2012
Z110;10/2012
Z110;11/2012
Z111;09/2008
Z111;10/2008
Z111;11/2008
Z111;12/2008
Z111;01/2009
Z111;02/2009
Z111;03/2009
Z111;04/2009
Z111;05/2009
Z111;06/2009
Z111;07/2009
Z111;08/2009
Z111;09/2009
Z111;10/2009
Z111;11/2009
Z111;12/2009
Z111;01/2010
Z111;02/2010
Z111;03/2010
Z111;04/2010
Z111;05/2010
Z111;06/2010
Z111;07/2010
Z111;08/2010
Z111;09/2010
Z112;09/2008
Z112;10/2008
Z112;11/2008
Z112;12/2008
Z112;01/2009
Z112;02/2009
Z112;03/2009
Z112;04/2009
Z112;05/2009
Z112;06/2009
Z112;07/2009
Z112;08/2009
Z112;09/2009
Z112;10/2009
Z112;11/2009
Z112;12/2009
Z112;01/2010
Z112;02/2010
Z112;03/2010
Z112;04/2010
Z112;05/2010
Z112;06/2010
Z112;07/2010
Z112;08/2010
Z112;09/2010
Z112;10/2010
Z112;11/2010
Z112;12/2010
Z112;01/2011
Z112;02/2011
Z112;03/2011
Z112;04/2011
Z112;05/2011
Z112;06/2011
Z112;07/2011
Z112;08/2011
Z112;09/2011
Z112;10/2011
Z112;11/2011
Z112;12/2011
Z112;01/2012
Z112;02/2012
Z112;03/2012
Z112;04/2012
Z112;05/2012
Z112;06/2012
Z112;07/2012
Z112;08/2012
Z112;09/2012
Z112;10/2012
Z112;11/2012
Z112;12/2012
Z112;01/2013
Z112;02/2013
Z112;03/2013
Z112;04/2013
Z112;05/2013
Z112;06/2013
Z112;07/2013
Z112;08/2013
Z113;11/2008
Z113;12/2008
Z113;01/2009
Z113;02/2009
Z113;03/2009
Z113;04/2009
Z113;05/2009
Z113;06/2009
Z113;07/2009
Z113;08/2009
Z113;09/2009
Z113;10/2009
Z113;11/2009
Z113;12/2009
Z113;01/2010
Z113;02/2010
Z113;03/2010
Z113;04/2010
Z113;05/2010
Z113;06/2010
Z113;07/2010
Z113;08/2010
Z113;09/2010
Z113;10/2010
Z113;11/2010
Z114;11/2008
Z114;12/2008
Z114;01/2009
Z114;02/2009
Z114;03/2009
Z114;04/2009
Z114;05/2009
Z114;06/2009
Z114;07/2009
Z114;08/2009
Z114;09/2009
Z114;10/2009
Z114;11/2009
Z114;12/2009
Z114;01/2010
Z114;02/2010
Z114;03/2010
Z114;04/2010
Z114;05/2010
Z114;06/2010
Z114;07/2010
Z114;08/2010
Z114;09/2010
Z114;10/2010
Z114;11/2010
Z115;09/2008
Z115;10/2008
Z115;11/2008
Z115;12/2008
Z115;01/2009
Z115;02/2009
Z115;03/2009
Z115;04/2009
Z115;05/2009
Z115;06/2009
Z115;07/2009
Z115;08/2009
Z115;09/2009
Z115;10/2009
Z115;11/2009
Z115;12/2009
Z115;01/2010
Z115;02/2010
Z115;03/2010
Z115;04/2010
Z115;05/2010
Z115;06/2010
Z115;07/2010
Z115;08/2010
Z115;09/2010
Z115;10/2010
Z115;11/2010
Z115;12/2010
Z115;01/2011
Z115;02/2011
Z115;03/2011
Z115;04/2011
Z115;05/2011
Z115;06/2011
Z115;07/2011
Z115;08/2011
Z115;09/2011
Z115;10/2011
Z115;11/2011
Z115;12/2011
Z115;01/2012
Z115;02/2012
Z115;03/2012
Z115;04/2012
Z115;05/2012
Z115;06/2012
Z115;07/2012
Z115;08/2012
Z115;09/2012
Z115;10/2012
Z115;11/2012
Z116;03/2009
Z116;04/2009
Z116;05/2009
Z116;06/2009
Z116;07/2009
Z116;08/2009
Z116;09/2009
Z116;10/2009
Z116;11/2009
Z116;12/2009
Z116;01/2010
Z116;02/2010
Z116;03/2010
Z116;04/2010
Z116;05/2010
